PERMNO|DATE|PRC
71475|19991217|36.8125
71475|19991220|36.125
71475|19991221|36.375
71475|19991222|36.1875
71475|19991223|35.75
71475|19991227|35.3125
71475|19991228|35.6875
71475|19991229|35.875
71475|19991230|35.9375
71475|19991231|36
71475|20000103|35.9375
71475|20000104|35.3125
71475|20000105|35.375
71475|20000106|35.5
71475|20000107|35.6875
71475|20000110|35.6875
71475|20000111|36
71475|20000112|35.5625
71475|20000113|36.125
71475|20000114|35.75
71475|20000118|35.5
71475|20000119|35.375
71475|20000120|35.5
71475|20000121|35.5
71475|20000124|34.875
71475|20000125|34.1875
71475|20000126|33.6875
71475|20000127|33.5625
71475|20000128|33.6875
71475|20000131|33.25
71475|20000201|33.25
71475|20000202|33.25
71475|20000203|33.1875
71475|20000204|32.6875
71475|20000207|32.3125
71475|20000208|31.9375
71475|20000209|31.3125
71475|20000210|30.8125
71475|20000211|29.3125
71475|20000214|30.5
71475|20000215|30.125
71475|20000216|29.5
71475|20000217|29.4375
71475|20000218|29
71475|20000222|28.125
71475|20000223|27.4375
71475|20000224|26.5
71475|20000225|26.5
71475|20000228|26.375
71475|20000229|26.9375
71475|20000301|27.5625
71475|20000302|26
71475|20000303|26.25
71475|20000306|26.125
71475|20000307|26.5
71475|20000308|27.125
71475|20000309|28.375
71475|20000310|28.5
71475|20000313|29
71475|20000314|29
71475|20000315|29.25
71475|20000316|29.0625
71475|20000317|29.375
71475|20000320|29.375
71475|20000321|31
71475|20000322|30.8125
71475|20000323|30.875
71475|20000324|31.125
71475|20000327|31.625
71475|20000328|31.375
71475|20000329|30.375
71475|20000330|29.5
71475|20000331|29.75
71475|20000403|29.875
71475|20000404|30
71475|20000405|31
71475|20000406|31.4375
71475|20000407|32
71475|20000410|31.5625
71475|20000411|30.5
71475|20000412|30.875
71475|20000413|30.5625
71475|20000414|29.8125
71475|20000417|29.5625
71475|20000418|29.9375
71475|20000419|29.25
71475|20000420|28.8125
71475|20000424|28.5
71475|20000425|28.6875
71475|20000426|29.375
71475|20000427|29.4375
71475|20000428|30.125
71475|20000501|31.25
71475|20000502|31.875
71475|20000503|31.3125
71475|20000504|30.4375
71475|20000505|29.6875
71475|20000508|29.375
71475|20000509|29.4375
71475|20000510|28.5625
71475|20000511|29
71475|20000512|29
71475|20000515|28.8125
71475|20000516|29
71475|20000517|28.875
71475|20000518|28.375
71475|20000519|28.3125
71475|20000522|28.3125
71475|20000523|28.5
71475|20000524|28
71475|20000525|27.875
71475|20000526|28.4375
71475|20000530|29
71475|20000531|29.8125
71475|20000601|29.875
71475|20000602|30.6875
71475|20000605|29.75
71475|20000606|29.6875
71475|20000607|29.8125
71475|20000608|29.5625
71475|20000609|29.6875
71475|20000612|29.375
71475|20000613|29.3125
71475|20000614|28.5625
71475|20000615|28.5625
71475|20000616|28.625
71475|20000619|29.0625
71475|20000620|29
71475|20000621|29.0625
71475|20000622|28.875
71475|20000623|28.9375
71475|20000626|28.9375
71475|20000627|29.0625
71475|20000628|29.9375
71475|20000629|30.375
71475|20000630|29.75
71475|20000703|30
71475|20000705|29.625
71475|20000706|30.125
71475|20000707|30.25
71475|20000710|30.4375
71475|20000711|30.1875
71475|20000712|30.125
71475|20000713|30.375
71475|20000714|31.375
71475|20000717|31.75
71475|20000718|31.375
71475|20000719|31.125
71475|20000720|31.0625
71475|20000721|30.625
71475|20000724|30.6875
71475|20000725|31
71475|20000726|30.125
71475|20000727|29.9375
71475|20000728|29.75
71475|20000731|30.125
71475|20000801|30.5
71475|20000802|30.5
71475|20000803|30.3125
71475|20000804|29.8125
71475|20000807|29.3125
71475|20000808|27.4375
71475|20000809|27
71475|20000810|26.125
71475|20000811|26.1875
71475|20000814|26.3125
71475|20000815|26.25
71475|20000816|26.25
71475|20000817|26.3125
71475|20000818|26.25
71475|20000821|26.1875
71475|20000822|26.25
71475|20000823|25.9375
71475|20000824|25.5
71475|20000825|25.625
71475|20000828|25.875
71475|20000829|25.8125
71475|20000830|25.6875
71475|20000831|26.0625
71475|20000901|26.0625
71475|20000905|26.125
71475|20000906|27.25
71475|20000907|27.3125
71475|20000908|27.9375
71475|20000911|28.375
71475|20000912|29
71475|20000913|29.625
71475|20000914|30
71475|20000915|29.875
71475|20000918|29.5
71475|20000919|28.875
71475|20000920|29.375
71475|20000921|29.9375
71475|20000922|29.625
71475|20000925|29.3125
71475|20000926|29.5
71475|20000927|29
71475|20000928|29.125
71475|20000929|30.25
71475|20001002|31.75
71475|20001003|31.75
71475|20001004|31.5
71475|20001005|31.8125
71475|20001006|31.6875
71475|20001009|30.5
71475|20001010|30.5625
71475|20001011|30.1875
71475|20001012|30
71475|20001013|29.875
71475|20001016|30.125
71475|20001017|29.625
71475|20001018|29.375
71475|20001019|29.75
71475|20001020|30.25
71475|20001023|30.25
71475|20001024|30.3125
71475|20001025|30.375
71475|20001026|30.8125
71475|20001027|30.8125
71475|20001030|31.125
71475|20001031|31.1875
71475|20001101|31.1875
71475|20001102|31.375
71475|20001103|31.4375
71475|20001106|31.3125
71475|20001107|32.75
71475|20001108|32.875
71475|20001109|32.75
71475|20001110|31.25
71475|20001113|31.875
71475|20001114|32.125
71475|20001115|31.8125
71475|20001116|32.5625
